TEAM,CONFERENCE,POINTS
Clemson,ACC,8.7142
Wake Forest,ACC,4.355400000000001
Boston College,ACC,2.6988000000000003
Louisville,ACC,1.2696
Florida State,ACC,0.18060000000000037
North Carolina State,ACC,2.4174
Syracuse,ACC,0.24199999999999972
Virginia,ACC,3.8544
Pitt,ACC,2.335
Virginia Tech,ACC,1.4554
Duke,ACC,2.1710000000000003
North Carolina,ACC,1.7490000000000003
Miami (FL),ACC,3.253
Georgia Tech,ACC,-2.0702
Cincinnati,AMERICAN,3.0178000000000007
Temple,AMERICAN,2.5402000000000005
UCF,AMERICAN,6.480999999999999
South Florida,AMERICAN,-0.8932000000000002
East Carolina,AMERICAN,-0.2364
Connecticut,AMERICAN,-4.180400000000001
SMU,AMERICAN,5.569799999999999
Navy,AMERICAN,5.7829999999999995
Memphis,AMERICAN,5.319599999999999
Tulane,AMERICAN,4.226999999999999
Houston,AMERICAN,-0.09780000000000011
Tulsa,AMERICAN,-1.0170000000000001
Baylor,BIG-12,6.275599999999999
Oklahoma,BIG-12,9.5454
Iowa State,BIG-12,5.3744000000000005
Texas,BIG-12,3.2424
Kansas State,BIG-12,3.3026000000000004
Texas Christian,BIG-12,4.058999999999999
Oklahoma State,BIG-12,3.2741999999999996
Texas Tech,BIG-12,1.6274
West Virginia,BIG-12,-1.5332
Kansas,BIG-12,-1.0272000000000003
Ohio State,BIG-TEN,11.373999999999999
Penn State,BIG-TEN,8.2246
Michigan,BIG-TEN,4.1644000000000005
Indiana,BIG-TEN,4.8726
Michigan State,BIG-TEN,2.2212
Maryland,BIG-TEN,2.8040000000000003
Rutgers,BIG-TEN,-5.342999999999999
Minnesota,BIG-TEN,5.5616
Wisconsin,BIG-TEN,9.1598
Iowa,BIG-TEN,4.894
Nebraska,BIG-TEN,1.0488000000000002
Illinois,BIG-TEN,0.11439999999999978
Purdue,BIG-TEN,-0.11319999999999993
Northwestern,BIG-TEN,-2.0753999999999997
Western Kentucky,CUSA,2.184
Florida Atlantic,CUSA,1.0695999999999997
Marshall,CUSA,1.3528
Florida International,CUSA,2.3469999999999995
Middle Tennessee State,CUSA,-2.1866000000000003
Charlotte,CUSA,-1.051
Old Dominion,CUSA,-2.5300000000000002
Louisiana Tech,CUSA,3.5814000000000004
UAB,CUSA,4.92
Southern Mississippi,CUSA,0.9415999999999999
North Texas,CUSA,0.8650000000000004
UTSA,CUSA,-1.9660000000000002
UTEP,CUSA,-3.1979999999999995
Rice,CUSA,-3.0263999999999998
Liberty,INDEPENDENT,1.6536
New Mexico State,INDEPENDENT,-4.857200000000001
Massachusetts,INDEPENDENT,-6.670999999999999
Notre Dame,INDEPENDENT,6.085600000000001
Army,INDEPENDENT,1.0055999999999998
Brigham Young,INDEPENDENT,-0.40239999999999954
Kent State,MAC,-1.4056000000000002
Miami (OH),MAC,-2.6075999999999997
Ohio,MAC,-0.12100000000000007
Buffalo,MAC,1.1354
Bowling Green State,MAC,-3.8271999999999995
Akron,MAC,-4.545
Ball State,MAC,2.464000000000001
Central Michigan,MAC,1.8756000000000002
Western Michigan,MAC,1.7867999999999997
Eastern Michigan,MAC,-0.25600000000000017
Toledo,MAC,0.364
Northern Illinois,MAC,-0.6788000000000002
Boise State,MWC,4.827999999999999
Utah State,MWC,2.555
Air Force,MWC,4.0224
Wyoming,MWC,2.0096
Colorado State,MWC,0.33660000000000073
New Mexico,MWC,-2.2918
San Diego State,MWC,3.188
Fresno State,MWC,1.6580000000000004
Hawaii,MWC,1.2279999999999998
Nevada,MWC,-2.156
San Jose State,MWC,0.011600000000000527
Nevada-Las Vegas,MWC,-1.8940000000000006
Oregon,PAC-12,7.1819999999999995
Oregon State,PAC-12,0.7985999999999995
Washington,PAC-12,4.088
Stanford,PAC-12,-0.6702
California,PAC-12,1.1012
Washington State,PAC-12,4.277
Utah,PAC-12,6.912
USC,PAC-12,2.53
Arizona State,PAC-12,2.3316
Arizona,PAC-12,1.3108
UCLA,PAC-12,-0.7354
Colorado,PAC-12,-0.8491999999999997
Florida,SEC,5.512599999999999
Georgia,SEC,7.728
Missouri,SEC,6.144399999999999
South Carolina,SEC,1.6918000000000002
Kentucky,SEC,0.32040000000000024
Tennessee,SEC,-0.2997999999999996
Vanderbilt,SEC,-2.7092000000000005
Alabama,SEC,8.873800000000001
LSU,SEC,8.8198
Auburn,SEC,5.8906
Texas A&M,SEC,3.3232
Ole Miss,SEC,1.0969999999999998
Mississippi State,SEC,0.18820000000000003
Arkansas,SEC,-0.4453999999999998
Appalachian State,SUN-BELT,5.346
Georgia State,SUN-BELT,1.2195999999999994
Georgia Southern,SUN-BELT,-1.3294
Troy,SUN-BELT,2.2016
Coastal Carolina,SUN-BELT,2.1740000000000004
Louisiana,SUN-BELT,4.883000000000001
Louisiana-Monroe,SUN-BELT,-1.5771999999999995
Texas State,SUN-BELT,-1.9177999999999997
Arkansas State,SUN-BELT,-1.3907999999999998
South Alabama,SUN-BELT,-2.8665999999999996
