TEAM,CONFERENCE,POINTS
Clemson,ACC,7.8304
Wake Forest,ACC,5.055199999999999
Florida State,ACC,1.6016000000000004
Louisville,ACC,3.0056
Boston College,ACC,1.9017999999999995
North Carolina State,ACC,3.5624
Syracuse,ACC,0.6252000000000003
Virginia,ACC,3.6544000000000008
Duke,ACC,3.0827999999999998
Pitt,ACC,2.027
North Carolina,ACC,1.9824
Virginia Tech,ACC,0.23719999999999983
Miami (FL),ACC,4.0856
Georgia Tech,ACC,-2.9791999999999996
Cincinnati,AMERICAN,2.5908
Temple,AMERICAN,4.332
UCF,AMERICAN,6.625
South Florida,AMERICAN,-0.22479999999999994
East Carolina,AMERICAN,0.1869999999999999
Connecticut,AMERICAN,-3.9663999999999993
Memphis,AMERICAN,5.509599999999999
SMU,AMERICAN,4.8268
Tulane,AMERICAN,4.468400000000001
Navy,AMERICAN,4.7952
Houston,AMERICAN,-0.07280000000000042
Tulsa,AMERICAN,-0.31759999999999994
Baylor,BIG-12,6.774
Oklahoma,BIG-12,9.786
Texas,BIG-12,4.177999999999999
Iowa State,BIG-12,4.840800000000001
Texas Christian,BIG-12,4.758000000000001
Texas Tech,BIG-12,2.692
West Virginia,BIG-12,0.4519999999999998
Oklahoma State,BIG-12,4.2292000000000005
Kansas State,BIG-12,3.4599999999999995
Kansas,BIG-12,-1.1149999999999998
Ohio State,BIG-TEN,11.014
Penn State,BIG-TEN,10.2476
Michigan,BIG-TEN,4.079999999999999
Michigan State,BIG-TEN,3.819
Maryland,BIG-TEN,5.1316
Indiana,BIG-TEN,3.3552
Rutgers,BIG-TEN,-3.9616000000000002
Minnesota,BIG-TEN,3.8691999999999993
Wisconsin,BIG-TEN,10.148000000000001
Nebraska,BIG-TEN,2.0023999999999997
Iowa,BIG-TEN,5.928399999999999
Illinois,BIG-TEN,0.7844000000000002
Northwestern,BIG-TEN,-0.4812
Purdue,BIG-TEN,-1.5143999999999997
Florida Atlantic,CUSA,0.9176
Western Kentucky,CUSA,1.0479999999999998
Middle Tennessee State,CUSA,-2.7256
Charlotte,CUSA,0.10599999999999936
Florida International,CUSA,0.9220000000000005
Marshall,CUSA,0.05880000000000011
Old Dominion,CUSA,-1.4320000000000002
Louisiana Tech,CUSA,1.4664000000000001
Southern Mississippi,CUSA,0.4196000000000004
North Texas,CUSA,1.5100000000000002
UAB,CUSA,3.4000000000000004
UTSA,CUSA,-2.1992
UTEP,CUSA,-3.3760000000000003
Rice,CUSA,-3.2723999999999998
Liberty,INDEPENDENT,1.3149999999999997
New Mexico State,INDEPENDENT,-5.1482
Massachusetts,INDEPENDENT,-6.067
Notre Dame,INDEPENDENT,6.5992
Army,INDEPENDENT,2.0536
Brigham Young,INDEPENDENT,-1.3099999999999998
Kent State,MAC,-2.8696000000000006
Miami (OH),MAC,-3.6276
Ohio,MAC,-0.8099999999999999
Buffalo,MAC,0.36839999999999995
Bowling Green State,MAC,-5.1991999999999985
Akron,MAC,-4.691999999999999
Toledo,MAC,2.3779999999999992
Ball State,MAC,0.6499999999999996
Central Michigan,MAC,0.43760000000000004
Western Michigan,MAC,1.9348
Eastern Michigan,MAC,-1.1180000000000003
Northern Illinois,MAC,-1.4188
Boise State,MWC,4.918000000000001
Wyoming,MWC,2.0980000000000003
Utah State,MWC,1.9284
Air Force,MWC,3.0084000000000004
New Mexico,MWC,-2.1904
Colorado State,MWC,-0.541
Hawaii,MWC,3.1472
San Diego State,MWC,2.754
San Jose State,MWC,0.534
Nevada,MWC,-3.11
Nevada-Las Vegas,MWC,-2.4619999999999997
Fresno State,MWC,1.73
Oregon,PAC-12,6.983600000000001
Stanford,PAC-12,-0.3460000000000001
Oregon State,PAC-12,2.3552
California,PAC-12,1.2330000000000003
Washington,PAC-12,4.5516000000000005
Washington State,PAC-12,4.252799999999999
Arizona,PAC-12,3.3392000000000004
USC,PAC-12,2.0675999999999997
Arizona State,PAC-12,3.2468
Utah,PAC-12,5.7416
Colorado,PAC-12,1.5848
UCLA,PAC-12,-2.0970000000000004
Florida,SEC,6.7684
Georgia,SEC,8.901999999999997
Missouri,SEC,7.555199999999999
South Carolina,SEC,2.270800000000001
Kentucky,SEC,0.45119999999999993
Tennessee,SEC,-0.4179999999999999
Vanderbilt,SEC,-3.6951999999999994
Alabama,SEC,9.5708
LSU,SEC,9.734399999999999
Auburn,SEC,4.8668
Ole Miss,SEC,1.8006000000000002
Mississippi State,SEC,1.3891999999999995
Texas A&M,SEC,4.6364
Arkansas,SEC,1.3132000000000004
Appalachian State,SUN-BELT,3.786
Georgia State,SUN-BELT,-0.04799999999999981
Georgia Southern,SUN-BELT,-2.2939999999999996
Coastal Carolina,SUN-BELT,3.7459999999999996
Troy,SUN-BELT,1.2600000000000002
Louisiana,SUN-BELT,6.1659999999999995
Louisiana-Monroe,SUN-BELT,-1.0539999999999996
Texas State,SUN-BELT,-1.9184
Arkansas State,SUN-BELT,-1.2628
South Alabama,SUN-BELT,-2.5462000000000002
